"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_100001","Transfert de liquidités","100001","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_101100","Capital souscrit - non appelé","101100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_101200","Capital souscrit - appelé non versé","101200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_101310","Capital non amorti","101310","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_101320","Capital amorti","101320","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_101800","Capital souscrit soumis à des réglementations particulières","101800","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_105000","Fonds de dotation","105000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_108000","Compte de l'exploitant","108000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_109000","Actionnaires: capital souscrit - non appelé","109000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_111000","Réserve légale","111000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_112000","Réserves statutaires","112000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_117100","Primes d'émission liées au capital","117100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_117200","Primes de fusion liées au capital","117200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_117300","Primes d'apport liées au capital","117300","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_117400","Primes de conversion d'obligation liées au capital","117400","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_117800","Autres compléments d'apport liées au capital","117800","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_118100","Réserves pour fonds social","118100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_119000","Avoirs des actionnaires","119000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_121000","Résultats reportés","121000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_128000","Modifications comptables affectant les résultats reportés","128000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_131000","Résultat bénéficiaire","131000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_135000","Résultat déficitaire","135000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_141000","Titres soumis à des réglementations particulières","141000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_142100","Réserves indisponibles","142100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_143000","Amortissements dérogatoires","143000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_144000","Réserve spéciale de réévaluation","144000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_145100","Subventions d'investissement","145100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_145800","Autres subventions d'investissement","145800","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_145900","Subventions d'investissement inscrites aux comptes de résultat","145900","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_147000","Compte du concédant","147000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_151100","Provisions pour litiges","151100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
